"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Equal 3278677001812350023, 7052527025415032643"
"Haskell lower -147415824577862156, 5372578149768289638"
"Haskell lower -3836287811732106070, 3719180042075727581"
"Haskell lower 9147626239349358236, -5930648286302153635"
"Haskell lower 3970990124492588403, -6962236925040275729"
"Equal 1661747476626323566, 3686086326150113598"
"Haskell lower 5059330674048373289, -8567733063403427142"
"Haskell lower -400585788935703192, 2020822818623348951"
"Haskell lower -1904081569798404241, -4189628233191921383"
"Haskell lower 5509336397385169151, 190670584410922993"
"Haskell lower -7742500623945385750, -4240980764923176756"
"Haskell lower 8727196274003821410, 7305322253459847825"
"Haskell lower -862263742726472245, 6993777309943552518"
"Haskell lower -2021491731548630427, -2544212934728631378"
"Haskell lower 189551762840473989, -6743669365187453519"
"Haskell lower 1582673382304662334, 2437863142362674107"
"Haskell lower 8224923431957070202, -8186513623766911698"
"Haskell lower -3409951111592415610, 1434339963034066322"
"Haskell lower -3871564073174277167, -8561980603163589382"
"Haskell lower -812430972088820206, -4547174264933599551"
"Equal 5179093029704629620, 1143986195705967597"
"Haskell lower 75262834362492540, -3392026568544376476"
"Haskell lower 7248674036020585259, 2926084410510539165"
"Haskell lower -4314653191958750090, -2356258002339844723"
"Haskell lower -3823386042768145915, -5987183609050266864"
"Haskell lower -1522488939608227124, 8537426493228707305"
"Equal -3333748208364350162, -1233792716160581662"
"Haskell lower 5617797936076657184, -8075216538021208316"
"Haskell lower -1260188807602364119, 9169473712492017836"
"Haskell lower 4301332342196002037, -2303363393323222150"
"Haskell lower -5958491110051267246, 3679443896727136209"
"Equal 6198274845849484527, 3887360724094279375"
"Equal 684737392257910795, 8652062632875994759"
"Haskell lower 6018928778616131719, -7842532906750808751"
"Haskell lower 8281278953013260580, 7268878990509942802"
"Haskell lower -6120077575858841928, -1757234106223188889"
"Haskell lower -5234923016247920229, -6453057553011725901"
"Haskell lower 8819980438103973006, 5799177889600679710"
"Haskell lower -8428111702359709124, 6092357885456511695"
"Equal -5187777858940737644, 2636877462320486519"
"Equal 7734568701572905983, 4031604351978035515"
"Haskell lower 3861072414396441047, 4432727983354769221"
"Equal 3901990722761083617, -3842364542051077172"
"Haskell lower -9034732993557559517, 8464059953051999204"
"Equal -8626127692913960490, -680227280013820619"
"Haskell lower 1119224597455825844, 7838689044479144565"
"Haskell lower 7351076888230270791, 653695041811118145"
"Haskell lower -4296967588742955929, -8671162363355643521"
"Equal -7452347516639291945, 7831596563867674627"
"Haskell lower -6698678882466423492, 5381484757995911062"
"Haskell lower -6322235946312941095, -3204064376373813632"
"Haskell lower -6057940400220096824, -922040218157461211"
"Haskell lower 8071194480353349470, 3980342750860289500"
"Haskell lower 1017630735534971265, 1215938816302700446"
"Haskell lower -1026931476076586207, 346031451500239104"
"Haskell lower -877117286483580317, 7221125335528417196"
"Haskell lower -7390665762206302296, 2904090502273730054"
"Equal 8649086119369446954, 7537883668736365798"
"Haskell lower 8854874393002299799, -1669724856455767629"
"Haskell lower -9045560465382257514, 2909185190562650968"
"Haskell lower 2914408283044889337, 6700469234221438700"
"Equal -2690310954527535508, -3954852498763674714"
"Haskell lower -4118639691342004991, 2191760031726094166"
"Haskell lower -456970889022734553, 8614884479968845459"
"Haskell lower 3777976898949102238, 4984643223909310437"
"Haskell lower 1744413517983188147, 4807409541614377754"
"Haskell lower -7599346941446821429, 4401458253734623896"
"Haskell lower 28526649313248604, -4370612223057170126"
"Haskell lower 8502597215917959529, -3791956978963335565"
"Equal -4911684447795203366, 3838409806173586489"
"Equal -6040488624943334997, 7581294193747353479"
"Equal -4190262697314309800, 6191898014469665315"
"Haskell lower 36598666053760147, 2640639586450325958"
"Haskell lower -73100550584240540, -6626871068003720059"
"Equal -8438658914730855222, 7858488662857857127"
"Equal 1321302280223600971, -5358686739312997400"
"Haskell lower -3116165199719742142, 2739145595253311500"
